Unnamed: 0,hash,model_identifier,framework,framework_version,elapsed_time,train_accuracy,train_loss,val_accuracy,val_loss,accelerator,accelerator_version,accelerator_type,cpu_model,train_dataset_name,epochs,batch_size,configs,train_split,val_split,test_split,train_slice,val_slice,test_slice,test_accuracy
4341,6405999296870753646,google/vit-base-patch32-384,HuggingFace,4.19.2,229.68390129692847,0.9099999666213988,0.0147354502517443,0.9099999666213988,0.0147354502517443,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.88525390625
4342,2314536760053322506,google/vit-base-patch16-224,HuggingFace,4.19.2,261.0260762310354,0.9099999666213988,0.0135467108339071,0.9099999666213988,0.0135467108339071,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.88623046875
4343,9130569546624886833,facebook/deit-base-patch16-224,HuggingFace,4.19.2,254.78392100520432,0.8999999761581421,0.0114373563287349,0.8999999761581421,0.0114373563287349,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.8719075918197632
4344,-5410065993550971797,microsoft/swin-small-patch4-window7-224,HuggingFace,4.19.2,227.8853700608015,0.1449999958276748,2.31043092250824,0.1449999958276748,2.31043092250824,,11.2,GPU,,caltech101,25,32,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.1603403091430664
4345,3486304456126532073,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,HuggingFace,4.19.2,260.02130517177284,0.75,0.9840392699608436,0.75,0.9840392699608436,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.7750651240348816
4346,-3668820336125520570,davanstrien/deit_flyswot,HuggingFace,4.19.2,260.34062007348984,0.8700000047683716,0.0096096343432481,0.8700000047683716,0.0096096343432481,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.8597005605697632
4347,-8189292763891580107,facebook/deit-base-distilled-patch16-224,HuggingFace,4.19.2,275.9861802130472,0.9300000071525574,0.0062569385021924,0.9300000071525574,0.0062569385021924,,11.2,GPU,,caltech101,25,32,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.878926694393158
4348,7236266122080146114,microsoft/beit-base-patch16-224,HuggingFace,4.19.2,281.79887199029326,0.0249999985098838,4.382356853485107,0.0249999985098838,4.382356853485107,,11.2,GPU,,caltech101,25,32,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.0189790576696395
4349,8121409150158218376,microsoft/beit-base-patch16-224-pt22k-ft22k,HuggingFace,4.19.2,281.94450456276536,0.1400000005960464,2.6236985206604,0.1400000005960464,2.6236985206604,,11.2,GPU,,caltech101,25,32,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.1569044589996338
4350,-5007602236712896989,microsoft/dit-base-finetuned-rvlcdip,HuggingFace,4.19.2,275.6958154235035,0.2349999994039535,0.5692497766017914,0.2349999994039535,0.5692497766017914,,11.2,GPU,,caltech101,25,32,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.4136125743389129
4351,-2699577559367811816,microsoft/beit-base-patch16-224-pt22k,HuggingFace,4.19.2,284.9058897374198,0.0350000001490116,4.296648578643799,0.0350000001490116,4.296648578643799,,11.2,GPU,,caltech101,25,32,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.0122709423303604
