model,input_shape,output_shape,architectures,task,dataset,#labels,labels,task_specific_params,problem_type,finetuning_task
nateraw/ex-for-evan,224.0,768.0,['ViTForImageClassification'],,hfpics,4.0,"['cheetah', 'elephant', 'giraffe', 'rhino']",,,
nateraw/food,224.0,768.0,['ViTForImageClassification'],,food101,101.0,food101,,,
nateraw/huggingpics-package-demo-2,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'husky', 'shibu inu']",,,
nateraw/pasta-pizza-ravioli,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['pasta', 'pizza', 'ravioli']",,,
nateraw/pasta-shapes,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'husky', 'shibu inu']",,,
nateraw/planes-trains-automobiles,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['automobiles', 'planes', 'trains']",,,
nateraw/rare-puppers,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'samoyed', 'shiba inu']",,,
nateraw/rare-puppers-09-04-2021,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'samoyed', 'shiba inu']",,,
nateraw/rare-puppers-123,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'samoyed', 'shiba inu']",,,
nateraw/rare-puppers-demo,224.0,768.0,['ViTForImageClassification'],,hfpics,4.0,"['corgi', 'husky', 'samoyed', 'shiba inu']",,,
nateraw/rare-puppers-new-auth,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'samoyed', 'shiba inu']",,,
nateraw/test_model_a,224.0,32.0,['ViTForImageClassification'],,cats_vs_dogs,2.0,cats_vs_dogs,,,
nateraw/trainer-rare-puppers,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'samoyed', 'shiba inu']",,,
nateraw/vit-age-classifier,224.0,768.0,['ViTForImageClassification'],,age-prediction,9.0,age-prediction,,,
nateraw/vit-base-beans,224.0,768.0,['ViTForImageClassification'],,beans,3.0,beans,,,
nateraw/vit-base-beans-demo,224.0,768.0,['ViTForImageClassification'],,beans,3.0,beans,,,
nateraw/vit-base-beans-demo-v2,224.0,768.0,['ViTForImageClassification'],,beans,3.0,beans,,,
nateraw/vit-base-beans-demo-v3,224.0,768.0,['ViTForImageClassification'],,beans,3.0,beans,,,
nateraw/vit-base-cats-vs-dogs,224.0,768.0,['ViTForImageClassification'],,cats_vs_dogs,2.0,cats_vs_dogs,,,
nateraw/vit-base-food101,224.0,768.0,['ViTForImageClassification'],,food101,101.0,food101,,single_label_classification,
